File /eos/project/c/cmsweb/www/reco-prof/circles/data/CMSSW_12_4_0_pre2/slc7_amd64_gcc10/11834.21/step3.root Events 400
Branch Name | Average Uncompressed Size (Bytes/Event) | Average Compressed Size (Bytes/Event) 
displacedGlobalMuons: (recoTrackExtras) 1097.54 710.93
displacedStandAloneMuons: (recoTrackExtras) 1121 690.465
hpsPFTauBasicDiscriminators: (recoSingleTauDiscriminatorContaineredmValueMap) 1864.29 665.597
muonsFromCosmics1Leg: (recoMuons) 1572.76 662.707
refittedStandAloneMuons: (recoTrackExtras) 1039.44 633.847
standAloneMuons: (recoTrackExtras) 1036.3 631.898
hltFEDSelectorL1: (FEDRawDataCollection) 17572.4 615.345
generalV0Candidates:Kshort (recoVertexCompositeCandidates) 1816.95 585.84
uncleanedOnlyGsfElectrons: (recoGsfElectrons) 1334.58 562.345
ckfInOutTracksFromConversions: (recoTracks) 1568.21 561.005
offlinePrimaryVerticesWithBS: (intedmValueMap) 6165.55 558.112
offlinePrimaryVertices: (intedmValueMap) 6162.23 555.495
hpsPFTauProducer:pizeros (recoRecoTauPiZeros) 1783.82 540.957
particleFlowSuperClusterECAL:particleFlowSuperClusterECALEndcapWithPreshower (recoSuperClusters) 1435 523.965
hpsPFTauBasicDiscriminatorsdR03: (recoSingleTauDiscriminatorContaineredmValueMap) 1779.69 521.888
hltScoutingPFPacker: (Run3ScoutingPFJets) 1802.17 512.452
displacedTracks: (recoTracks) 1240.27 492.548
lowPtGsfElectronSuperClusters: (recoSuperClusters) 1700.07 463.127
inclusiveCandidateSecondaryVerticesCvsL: (recoVertexCompositePtrCandidates) 942.062 461.9
ootPhotons: (recoPhotons) 1061.88 417.84
pfGhostTrackBJetTags: (recoJetedmRefToBaseProdTofloatsAssociationVector) 576.305 388.905
ak8PFJetsPuppi: (recoPFJets) 1597.79 388.848
particleFlowSuperClusterECAL:particleFlowBasicClusterECALEndcap (recoCaloClusters) 892.61 387.673
totemRPRawToDigi:TrackingStrip (TotemVFATStatusedmDetSetVector) 9623.84 382.035
inclusiveCandidateSecondaryVertices: (recoVertexCompositePtrCandidates) 773.96 381.32
hltScoutingPrimaryVertexPacker:primaryVtx (Run3ScoutingVertexs) 1245.28 375.603
hcalnoise: (HcalNoiseSummary) 657.64 345.077
prunedTrackMCMatch: (recoGenParticlesedmAssociation) 8753.12 339.168
muonReducedTrackExtras: (recoTrackExtras) 631.367 338.405
displacedStandAloneMuons: (recoTracks) 842.758 331.918
muonSimClassifier: (recoMuonSimInfoedmValueMap) 1730.86 326.752
dedxHitInfo: (recoDeDxHitInfosedmAssociation) 8746.17 321.275
rpcRecHits: (RPCDetIdRPCRecHitsOwnedRangeMap) 1766.44 316.55
muons:combined (recoMuonTimeExtraedmValueMap) 504.163 315.723
refittedStandAloneMuons: (recoTracks) 778.538 309.098
standAloneMuons: (recoTracks) 775.158 305.988
pfChargeBJetTags: (recoJetedmRefToBaseProdTofloatsAssociationVector) 575.865 305.925
refittedStandAloneMuons:UpdatedAtVtx (recoTracks) 779.92 305.507
muonReducedTrackExtras: (recoTrackExtrasedmAssociation) 8812.35 303.315
standAloneMuons:UpdatedAtVtx (recoTracks) 776.54 302.168
cosmicMuons: (recoTracks) 747.342 296.745
muons:csc (recoMuonTimeExtraedmValueMap) 502.312 296.123
selectDigi:selectedEcalEBDigiCollection (EBDigiCollection) 714.643 289.113
tevMuons:default (recoTracks) 643.947 273.683
globalMuons: (recoTracks) 643.753 272.673
tevMuons:picky (recoTracks) 643.112 272.428
tevMuons:firstHit (recoTracks) 644.365 267.29
tevMuons:dyt (recoTracks) 642.278 266.793
pfCombinedInclusiveSecondaryVertexV2BJetTags: (recoJetedmRefToBaseProdTofloatsAssociationVector) 578.945 263.185
pfCombinedSecondaryVertexV2BJetTags: (recoJetedmRefToBaseProdTofloatsAssociationVector) 577.955 262.235
TriggerResults: (edmTriggerResults) 1724.65 256.64
ak8PFJetsPuppiSoftDrop:SubJets (recoPFJets) 817.192 249.145
hcalDigis: (HcalUnpackerReport) 1766.36 240.775
caloStage2Digis:Tau (l1tTauBXVector) 1107.39 239.447
gtStage2Digis:Tau (l1tTauBXVector) 1106.08 238.167
conversions: (recoConversions) 897.835 235.265
caloStage2Digis:Jet (l1tJetBXVector) 1071.99 227.433
muonReducedTrackExtras: (TrackingRecHitsOwned) 1530.74 227.218
gtStage2Digis:Jet (l1tJetBXVector) 1070.71 226.157
pfCombinedCvsLJetTags: (recoJetedmRefToBaseProdTofloatsAssociationVector) 576.415 222.145
gmtStage2Digis:Muon (l1tMuonBXVector) 428.793 212.13
displacedGlobalMuons: (recoTracks) 487.567 211.54
gtStage2Digis:Muon (l1tMuonBXVector) 427.973 211.36
pfCombinedCvsBJetTags: (recoJetedmRefToBaseProdTofloatsAssociationVector) 576.415 207.925
gtStage2Digis: (GlobalAlgBlkBXVector) 1742.09 206.058
generalV0Candidates:Lambda (recoVertexCompositeCandidates) 584.747 205.607
GlobalHaloData: (recoGlobalHaloData) 377.723 203.955
caloStage2Digis:EGamma (l1tEGammaBXVector) 717.14 197.04
offlinePrimaryVerticesWithBS: (floatedmValueMap) 261.585 196.755
offlinePrimaryVertices: (floatedmValueMap) 261.385 196.365
gtStage2Digis:EGamma (l1tEGammaBXVector) 715.86 195.81
muonReducedTrackExtras: (SiStripClusteredmNewDetSetVector) 468.868 195.61
ckfOutInTracksFromConversions: (recoTracks) 463.947 189.058
caloMetM: (recoCaloMETs) 432.842 188.63
caloMetBEFO: (recoCaloMETs) 410.015 184.36
gtStage2Digis:EtSum (l1tEtSumBXVector) 1285.5 184.19
selectDigi:selectedEcalEEDigiCollection (EEDigiCollection) 417.757 181.92
caloMet: (recoCaloMETs) 408.075 181.14
pfJetBProbabilityBJetTags: (recoJetedmRefToBaseProdTofloatsAssociationVector) 576.855 174.675
gmtStage2Digis:imdMuonsEMTFNeg (l1tMuonBXVector) 339.1 173.56
gmtStage2Digis:imdMuonsEMTFPos (l1tMuonBXVector) 339.1 173.56
gmtStage2Digis:imdMuonsOMTFNeg (l1tMuonBXVector) 339.1 173.56
gmtStage2Digis:imdMuonsOMTFPos (l1tMuonBXVector) 339.1 173.56
pfCombinedMVAV2BJetTags: (recoJetedmRefToBaseProdTofloatsAssociationVector) 576.635 172.475
gmtStage2Digis:imdMuonsBMTF (l1tMuonBXVector) 336.64 171.08
caloStage2Digis:EtSum (l1tEtSumBXVector) 966.543 168.965
gmtStage2Digis:MuonCopy3 (l1tMuonBXVector) 334.18 168.67
gmtStage2Digis:MuonCopy5 (l1tMuonBXVector) 334.18 168.67
gmtStage2Digis:MuonCopy4 (l1tMuonBXVector) 334.18 168.67
gmtStage2Digis:MuonCopy2 (l1tMuonBXVector) 334.18 168.67
gmtStage2Digis:MuonCopy1 (l1tMuonBXVector) 334.18 168.67
muonReducedTrackExtras: (SiPixelClusteredmNewDetSetVector) 347.223 165.032
gtStage2Digis:Muon2 (l1tMuonBXVector) 314.08 164.3
gtStage2Digis:Muon3 (l1tMuonBXVector) 314.08 164.3
gtStage2Digis:Muon4 (l1tMuonBXVector) 314.08 164.3
gtStage2Digis:Muon5 (l1tMuonBXVector) 314.08 164.3
gtStage2Digis:Muon6 (l1tMuonBXVector) 314.08 164.3
particleFlowTmp:CleanedPunchThroughNeutralHadrons (recoPFCandidates) 393.317 161.72
gemSegments: (GEMDetIdGEMSegmentsOwnedRangeMap) 458.613 158.375
particleFlowTmp:CleanedTrackerAndGlobalMuons (recoPFCandidates) 389.955 158.327
tcdsDigis:tcdsRecord (TCDSRecord) 398.197 155.74
particleFlowTmp:CleanedPunchThroughMuons (recoPFCandidates) 387.265 155.637
gsfTracksOpenConversions:gsfTracksOpenConversions (recoConversions) 494.118 154.09
particleFlowTmp:AddedMuonsAndHadrons (recoPFCandidates) 385.79 153.998
caloMetBE: (recoCaloMETs) 409.045 153.59
particleFlowTmp:CleanedCosmicsMuons (recoPFCandidates) 383.902 152.295
particleFlowTmp:CleanedFakeMuons (recoPFCandidates) 381.885 150.268
pfDeepCMVAJetTags:probbb (recoJetedmRefToBaseProdTofloatsAssociationVector) 576.635 149.065
pfDeepCSVJetTags:probbb (recoJetedmRefToBaseProdTofloatsAssociationVector) 576.525 148.895
pfDeepCSVJetTags:probb (recoJetedmRefToBaseProdTofloatsAssociationVector) 576.415 148.345
pfDeepCMVAJetTags:probb (recoJetedmRefToBaseProdTofloatsAssociationVector) 576.525 148.255
chargedHadronPFTrackIsolation: (booledmValueMap) 2968.66 147.597
pfDeepCMVAJetTags:probudsg (recoJetedmRefToBaseProdTofloatsAssociationVector) 576.855 147.265
pfDeepCMVAJetTags:probc (recoJetedmRefToBaseProdTofloatsAssociationVector) 576.525 146.945
pfDeepCMVAJetTags:probcc (recoJetedmRefToBaseProdTofloatsAssociationVector) 576.635 146.565
pfDeepCSVJetTags:probc (recoJetedmRefToBaseProdTofloatsAssociationVector) 576.415 146.405
particleFlowTmp:CleanedHF (recoPFCandidates) 377.178 145.63
pfDeepCSVJetTags:probudsg (recoJetedmRefToBaseProdTofloatsAssociationVector) 576.745 145.175
cosmicMuons1Leg: (recoTracks) 333.363 142.335
CSCHaloData: (recoCSCHaloData) 219.157 137.1
